similar_cid	measure	type	model	orig_cid
6214	0.9785975813865662	inorganic	FPCountsEmbedding	6371
6366	0.9744685292243958	inorganic	FPCountsEmbedding	6371
5943	0.9731111526489258	inorganic	FPCountsEmbedding	6371
6591	0.9729530215263367	inorganic	FPCountsEmbedding	6371
6423	0.9722058176994324	inorganic	FPCountsEmbedding	6371
6278	0.9708681702613831	inorganic	FPCountsEmbedding	6371
24193	0.9694887399673462	inorganic	FPCountsEmbedding	6371
6344	0.9688555002212524	inorganic	FPCountsEmbedding	6371
6212	0.966575562953949	inorganic	FPCountsEmbedding	6371
6575	0.9665265679359436	inorganic	FPCountsEmbedding	6371
6365	0.9653069376945496	inorganic	FPCountsEmbedding	6371
11	0.9639855623245239	inorganic	FPCountsEmbedding	6371
6419	0.9626288414001465	inorganic	FPCountsEmbedding	6371
6574	0.962490439414978	inorganic	FPCountsEmbedding	6371
9989226	0.9777922630310059	inorganic	FPCountsEmbedding	14781
25477	0.9743427634239197	inorganic	FPCountsEmbedding	14781
24823	0.9714776873588562	inorganic	FPCountsEmbedding	14781
887	0.9699392318725586	inorganic	FPCountsEmbedding	14781
1061	0.9644280076026917	inorganic	FPCountsEmbedding	14781
281	0.9602451324462891	inorganic	FPCountsEmbedding	14781
1117	0.9761384725570679	inorganic	FPCountsEmbedding	1119
6497	0.9726024866104126	inorganic	FPCountsEmbedding	1119
6213	0.9694884419441223	inorganic	FPCountsEmbedding	1119
24682	0.968255877494812	inorganic	FPCountsEmbedding	1119
3032552	0.9574525952339172	inorganic	FPCountsEmbedding	145068
946	0.9548907279968262	inorganic	FPCountsEmbedding	145068
6329	0.8421102166175842	inorganic	FPCountsEmbedding	223
7903	0.8056875467300415	inorganic	FPCountsEmbedding	223
713	0.9001997709274292	inorganic	FPCountsEmbedding	6347
12228	0.8887193202972412	inorganic	FPCountsEmbedding	6347
280	0.7661879658699036	inorganic	FPCountsEmbedding	136332
723	0.7652623057365417	inorganic	FPCountsEmbedding	136332
7900	0.9433078169822693	organic	FPCountsEmbedding	32881
8087	0.9411952495574951	organic	FPCountsEmbedding	32881
86258	0.982130229473114	organic	FPCountsEmbedding	70155
7471951	0.981826901435852	organic	FPCountsEmbedding	70155
93496	0.9813332557678223	organic	FPCountsEmbedding	70155
13432	0.9717513918876648	organic	FPCountsEmbedding	70155
11831	0.9708889722824097	organic	FPCountsEmbedding	70155
6829	0.9647355079650879	organic	FPCountsEmbedding	70155
158032	0.9620944857597351	organic	FPCountsEmbedding	70155
11769	0.9620333313941956	organic	FPCountsEmbedding	70155
42540	0.9831060171127319	organic	FPCountsEmbedding	39929
42138	0.9828408360481262	organic	FPCountsEmbedding	39929
15625	0.9827349781990051	organic	FPCountsEmbedding	39929
42128	0.9827229380607605	organic	FPCountsEmbedding	39929
37807	0.9824804663658142	organic	FPCountsEmbedding	39929
37248	0.9797322750091553	organic	FPCountsEmbedding	39929
51720	0.9786902070045471	organic	FPCountsEmbedding	39929
29575	0.9784244894981384	organic	FPCountsEmbedding	39929
18636	0.9781065583229065	organic	FPCountsEmbedding	39929
38439	0.9772439002990723	organic	FPCountsEmbedding	39929
42140	0.9766309857368469	organic	FPCountsEmbedding	39929
37034	0.9758749604225159	organic	FPCountsEmbedding	39929
38875	0.9753405451774597	organic	FPCountsEmbedding	39929
36401	0.9745054841041565	organic	FPCountsEmbedding	39929
38200	0.9736905097961426	organic	FPCountsEmbedding	39929
23448	0.9731725454330444	organic	FPCountsEmbedding	39929
43495	0.9729078412055969	organic	FPCountsEmbedding	39929
36231	0.9725379943847656	organic	FPCountsEmbedding	39929
37036	0.9724011421203613	organic	FPCountsEmbedding	39929
51130	0.9722320437431335	organic	FPCountsEmbedding	39929
27960	0.9713313579559326	organic	FPCountsEmbedding	39929
37270	0.9693365693092346	organic	FPCountsEmbedding	39929
37803	0.9674334526062012	organic	FPCountsEmbedding	39929
38016	0.9673649668693542	organic	FPCountsEmbedding	39929
38032	0.9650236964225769	organic	FPCountsEmbedding	39929
16318	0.964650571346283	organic	FPCountsEmbedding	39929
36188	0.9641396999359131	organic	FPCountsEmbedding	39929
10943	0.9605402946472168	organic	FPCountsEmbedding	39929
7950	0.9601065516471863	organic	FPCountsEmbedding	39929
1474	0.9558421969413757	organic	FPCountsEmbedding	6838
31222	0.9382489919662476	organic	FPCountsEmbedding	6838
10249	0.9314323663711548	organic	FPCountsEmbedding	6838
14456	0.8927931189537048	organic	FPCountsEmbedding	76004
87622	0.826425313949585	organic	FPCountsEmbedding	76004
281	0.9887793064117432	organic	FPCountsEmbedding	887
712	0.9883996844291687	organic	FPCountsEmbedding	887
9989226	0.9778496026992798	organic	FPCountsEmbedding	887
24823	0.9768439531326294	organic	FPCountsEmbedding	887
10340	0.9713839292526245	organic	FPCountsEmbedding	887
11430	0.9710862040519714	organic	FPCountsEmbedding	887
14781	0.9699393510818481	organic	FPCountsEmbedding	887
25477	0.9667075872421265	organic	FPCountsEmbedding	887
11345	0.9657323956489563	organic	FPCountsEmbedding	7378
33712	0.9641369581222534	organic	FPCountsEmbedding	7378
7390	0.9610719084739685	organic	FPCountsEmbedding	7378
6326	0.9418172240257263	organic	FPCountsEmbedding	9997
4685067	0.9682359099388123	organic	FPCountsEmbedding	768
6342	0.9163535833358765	organic	FPCountsEmbedding	768
