CID,kmeans_cluster,hierarchical_cluster
519283,10,18
316554,10,18
27938,10,18
19503,10,18
7459,10,18
11574,14,0
12746,14,0
80281,5,18
29075,5,18
31285,2,18
87821,5,18
8125,2,18
528972,5,18
82436,5,18
87639,5,18
181154,5,18
17095,5,18
13190,5,18
5634,5,18
5282601,5,18
47689,29,18
14283207,29,18
18625,29,18
10115,29,18
560947,19,18
92723,19,18
521425,14,18
10044,14,18
521416,14,18
28021,14,18
11255,14,18
20414,10,18
26058,19,18
26839,14,18
28022,14,18
10907,14,0
519761,14,18
19041,14,18
518457,14,18
62847,2,18
28026,14,18
14062,14,18
11551,14,0
85150,10,18
11542,14,0
28023,14,18
11215,14,18
13533,14,18
11269,14,18
140667,14,18
14045,14,18
19944,14,18
86544,10,18
18851,14,0
140599,16,0
6589,14,0
26375,14,18
11447,14,18
23531,10,18
11260,14,0
7868,14,0
77653,14,18
28024,14,18
89303,14,18
137658,14,18
520357,10,18
16657,16,0
16656,14,18
11511,14,0
524749,10,18
92978,14,18
14478,14,18
519394,10,18
33451,14,0
16662,14,18
11592,14,0
28456,10,18
139988,14,18
19773,10,18
19774,10,18
76492,14,0
139395,10,18
14069,14,18
28457,10,18
16319,10,18
28453,10,18
528473,10,18
14070,10,18
528474,10,18
517733,10,18
15260,9,0
13861,2,0
12741,2,18
19801,2,18
7720,14,0
549957,19,18
15270,10,18
22468,14,0
78335,2,18
11863,14,18
94249,10,18
23415,10,18
11594,2,18
11582,14,0
137081,5,18
13379,10,18
18591,10,18
7892,14,0
23459,10,18
13187,2,18
172146,5,18
21414,5,18
53687588,5,18
61303,5,18
176293,5,18
75364,5,18
11622,5,18
8163,5,18
62447,2,18
5282604,5,18
21771602,29,18
12303119,29,18
41359,29,18
43250,29,18
23544,14,18
14020,19,18
520991,14,18
11233,14,18
138117,10,18
11229,14,18
13534,14,18
11412,14,18
85926,14,18
528475,10,18
61018,14,0
13558,14,18
20143700,10,18
139989,14,18
519395,10,18
85927,14,18
28468,10,18
28458,10,18
519396,10,18
31240,14,0
26049,19,18
19951,14,0
139803,14,18
20329911,10,18
521415,14,18
529827,10,18
51806,14,18
12096,14,18
529886,10,18
79985,10,18
12048,14,0
28469,10,18
18848,14,0
14018,14,18
18314,14,18
14263,14,0
92239,10,18
11519,14,0
11507,14,0
94322,5,18
22202,10,18
16664,10,18
7282,14,0
13845,10,18
67334,19,18
136827,14,18
85151,14,18
528476,10,18
139990,14,18
528477,10,18
89180,14,18
528478,10,18
519256,10,18
16663,14,18
85925,10,18
521958,10,18
518713,14,0
19589,14,0
7910,9,0
15658,14,0
17835,10,18
11512,14,0
28455,10,18
16665,14,18
520454,10,18
97746,5,18
97747,5,18
530112,10,18
18972702,10,18
519423,10,18
93071,10,18
27518,10,18
94213,10,18
9877768,2,18
16821,2,18
7742,18,12
7785,5,18
537768,10,18
519391,10,18
13561,2,18
520743,5,18
10018535,0,16
965,5,18
10569,19,18
242342,29,18
274991,29,18
225688,29,18
612828,29,18
6654,19,18
17100,14,18
2266,2,18
11142,14,18
521731,5,18
225689,29,18
612782,29,18
14896,19,18
86052,10,18
221023,29,18
260716,10,18
136101,10,18
15506,10,18
14619934,10,18
6616,19,18
2537,19,18
26318,10,18
6537497,5,3
3240,29,18
5997,19,18
140671,19,18
11564,19,18
17149,14,18
11523,19,18
35413,10,18
35412,10,18
138178,10,18
33744,2,18
522498,14,0
136508,10,18
7044,10,18
643587,10,18
10130,19,18
7794,14,0
7965,2,7
550318,10,18
519308,10,18
550319,19,18
107252,10,18
549158,2,18
8078,2,18
7966,2,0
7967,2,18
8079,2,18
19751,19,18
9253,2,18
7298,9,0
15417,10,18
22311,14,18
8175,5,18
5192,2,18
2969,2,18
8174,2,18
15713,10,18
11694869,0,16
15618,0,16
557966,10,18
586537,10,18
6492,19,18
14910,10,18
101602,19,18
29096,14,0
7958,14,18
71318052,19,18
544588,14,18
13721375,10,18
516973,14,0
7792,14,18
25006,14,0
28474,10,18
3017068,5,18
244872,5,18
8215,5,18
3032811,5,18
8194,5,18
14256,5,18
12736,5,18
20967,5,18
8183,5,18
15714,10,18
11008,5,18
75458,5,18
8222,5,18
75502,5,18
10467,5,18
142770,5,18
20511,10,18
6857535,29,18
247705,10,18
22199,5,18
13297142,5,18
141135,5,18
15504,10,18
15431,14,18
137448,14,0
19090156,19,18
2758,19,18
244297,29,18
12813,2,18
7710,2,18
14900,2,18
22434,5,18
16898,5,18
12052911,5,18
151269,5,18
23524,5,18
18027,5,18
71552,5,18
12398,5,18
10465,5,18
29777,10,18
8130,2,18
93280,14,18
8094,2,18
8129,2,18
23598,5,18
21832,10,18
3084462,5,18
9543670,5,18
10469,5,18
54280271,5,18
984,5,18
11006,5,18
10459,5,18
22207,5,18
152802,5,18
23250,10,18
6184,2,18
18313,14,18
12412,5,18
20283,10,18
138257,10,18
12732,16,0
8362,0,16
73796,5,18
526118,5,18
519147,5,18
182192,5,18
74399,5,18
6448,19,18
15508,10,18
77414,10,18
521268,14,18
6556,14,0
17857,19,18
6544,14,18
267302,19,18
136673,14,18
12763,10,18
519284,19,18
442381,10,18
3893,5,18
221064,19,18
91496,19,18
238792,10,18
518574,19,18
1254,19,18
520159,5,18
516981,10,18
8051,2,18
8202,5,18
607552,0,16
13584,5,18
8139,5,18
13908485,5,18
14259,5,18
3035468,5,18
53705,5,18
41517,5,18
15609,5,18
22048,5,18
3032412,19,18
8034,14,0
7909,14,0
31284,5,18
11583,9,0
20017,5,18
15610,5,18
41518,5,18
8201,5,18
8181,5,18
41431,5,18
187321,10,18
23468,10,18
75546,5,18
85778983,5,18
13908486,5,18
12400,5,18
75519,5,18
620189,0,16
7962,10,18
7296,14,18
34193,10,18
24699,5,18
11005,5,18
68344,2,18
16269,10,18
15600,2,18
12405,5,18
8182,5,18
19255,5,18
12404,5,18
12403,5,18
12410,5,18
37982,5,18
11636,5,18
8900,2,18
12407,5,18
8058,2,18
5282596,5,18
12409,5,18
8141,2,18
17900,10,18
12408,5,18
8221,5,18
356,2,18
12406,5,18
22328,10,18
12413,5,18
12592,5,18
26519,5,18
94485,5,18
12535,5,18
12534,5,18
12388,5,18
12411,5,18
181572,5,18
14257,5,18
10117,19,18
62838,10,18
10446,10,18
20245,5,18
12401,5,18
12572015,5,18
12591,5,18
53925385,5,18
89671,10,18
31289,2,18
8158,2,18
114842,5,18
19775,10,18
3084376,5,18
10470,5,18
11635,5,18
70095,5,18
20514,10,18
454,2,18
379,2,18
957,2,18
8093,2,18
23599,5,18
15712,10,18
8927,5,18
22833468,10,18
11463,16,0
985,5,18
4668,5,18
16040,10,18
181174,5,18
13828362,5,18
10468,5,18
17697,5,18
12391,5,18
13849,5,18
149211,5,18
20284,10,18
19540,10,18
12523,10,18
10116,19,18
12304198,19,18
6431006,19,18
4900,29,18
15979,10,18
316565,10,18
138270,16,0
15505,10,18
16270,10,18
78173525,10,18
20758369,10,18
579897,29,18
86821,10,18
3084097,29,18
102778,14,18
5281,5,18
12444466,19,18
12943206,10,18
53703939,29,18
122544,10,18
20149,5,18
557529,5,18
2724554,5,18
11197,5,18
152909,5,18
31291,5,18
12389,5,18
13185,5,18
62072,5,18
33650,5,18
162384,5,18
15715,10,18
21572741,19,18
13152,14,18
91195,19,18
28809,10,18
522213,10,18
10471,5,18
155761,5,18
17085,5,18
54183197,5,18
64150,19,18
25311,5,18
12530,5,18
32934,5,18
22327,10,18
8777,5,18
5463846,19,18
34335,14,18
176692,10,18
176691,10,18
8186,5,18
23296,10,18
519397,10,18
519424,10,18
15816,2,18
8180,5,18
7714,2,18
40997,10,18
14985,5,18
6857529,29,18
289,23,4
10037,16,0
7931,4,2
23284,18,12
25403,16,0
24977797,16,0
94310,22,5
11210,16,0
11239,16,0
12969,16,0
12984,14,0
12721,16,0
5326159,16,0
71072,28,4
9118,28,4
8901,16,0
66775,16,0
31253,16,0
50958,28,4
15301,16,0
12993,16,0
7845,16,0
7612,16,0
11602,16,0
11599,16,0
8530,15,4
6693,23,4
139568,16,17
114893,28,4
6849,28,4
21694,28,4
11669,14,0
9223,28,4
11250,16,0
7238,4,2
138026,16,0
11240,16,0
12986,16,0
10336,16,0
17656,16,0
6562,9,0
19168,28,4
6829,28,4
25760,28,4
11392,28,4
28206,28,4
13090,28,4
6549,9,12
13159,16,0
13143,16,0
643935,16,0
149804,28,4
16450,28,4
13462,28,4
97240,28,4
7114,28,4
158032,28,4
62134,28,4
12097,15,4
44374,28,4
24121,28,4
30086,28,4
10241,28,4
11767,28,4
70382,28,4
6724,23,4
6710,28,4
6780,28,4
17253,28,4
243,15,4
7505,1,4
112221,16,0
12220,16,0
11601,16,0
20138,16,0
568,28,4
4458,16,0
19633,2,5
20307,16,0
6998,23,4
8405,28,4
8858,16,0
54710497,15,4
4133,15,4
6570,9,0
121731,16,0
16212386,1,4
66084,16,0
182132,16,0
7672,1,4
8252,16,0
8027,1,4
7047,28,4
1105,2,5
11612,16,0
137816,16,0
7020,23,4
8071,3,12
93000,9,12
7896,9,12
10442,9,12
8064,9,0
61222,16,17
19460,2,18
7840,9,2
7844,16,0
7846,16,0
15287,9,12
12512,9,12
8103,2,18
11597,9,0
22172,18,12
7903,20,9
18827,2,0
136461,16,17
8004,16,0
7852,9,7
20473,18,15
6490,18,12
6403,14,0
12417,9,0
10041,14,0
262,9,12
650,26,1
136353,3,12
70934,9,12
13009,18,12
31261,18,12
15570,9,12
10795,18,12
8177,18,12
422780,9,7
22129,9,7
11807,9,7
6416,14,18
79123,9,9
13588,9,12
8076,9,12
89125,18,8
8095,18,12
13539,18,12
4093,26,1
51132,18,12
14846,9,12
8019,9,12
75103,9,12
12209,18,12
23847,14,0
6590,18,12
7284,9,0
7301,9,12
33528,2,7
145744,18,12
22386,9,12
5971,27,7
12475,18,8
13521,18,15
83756,18,15
7850,16,2
185654,26,1
11509,9,0
179,9,12
17291,9,12
62118,9,12
10430,18,12
25402,16,0
7288,9,0
62010,9,7
94226,16,0
66349,22,4
12756,18,12
860,2,18
177,9,0
178,9,7
180,9,0
7847,16,1
6579,9,7
7858,9,12
1531,9,7
12348,18,12
2365,18,12
7912,9,7
7795,18,12
7770,18,12
264,18,12
177691,9,12
8909,9,0
8133,9,12
11529,18,12
8132,9,7
261,9,0
10401,18,12
8146,3,12
31369,12,2
11611,16,0
8126,2,18
12585,16,0
88350,2,18
8452,2,12
8882,16,0
25982,18,12
31256,9,12
125339,18,12
7765,18,12
75481,18,12
8021,9,7
31288,18,12
8179,3,12
11321244,18,12
81313,18,12
13578,9,12
23368,18,12
8087,3,12
8020,9,12
6495,18,12
8254,9,12
69240,18,12
674,9,7
12329,18,12
12330,16,0
86302,18,12
13628003,18,12
21896169,18,12
121752,18,12
32881,18,12
12968,9,7
6324,9,0
700,9,7
8857,18,12
8821,18,12
702,9,12
7762,18,12
5641,9,7
6337,16,2
81530,18,8
3283,9,12
8025,18,12
7342,18,12
7945,18,12
7344,18,12
6343,9,6
7343,18,12
31214,18,12
7749,18,12
15394,9,0
12989,18,12
6341,9,7
8160,18,12
8054,18,12
8170,2,12
17756,9,12
6325,16,0
