CID,kmeans_cluster,hierarchical_cluster
14917,17,2
6278,7,2
6591,7,2
6574,7,2
6365,7,2
6366,7,2
6573,7,2
6564,7,2
7367,7,8
6359,17,2
5943,7,2
6212,7,2
6423,29,2
6344,7,2
6337,7,2
11,7,2
6901,7,2
6478,7,2
6214,7,2
6327,7,2
6419,7,2
31373,7,2
6575,7,2
6389,17,2
6371,7,2
24193,7,2
24883,7,2
7850,7,2
300,7,2
727,7,2
10900,7,2
6338,7,2
123522,3,4
27941,15,1
92723,3,4
10044,3,4
11255,3,4
10907,3,4
19041,3,4
28026,3,4
11551,3,4
11542,3,4
11215,3,4
28024,3,4
14020,3,4
11233,3,4
11229,3,4
14018,3,4
67334,6,0
14896,6,0
6616,6,0
2537,15,1
244297,15,1
18313,3,4
53703939,15,1
31240,7,2
8115,7,2
6403,3,4
523224,6,0
10041,3,4
9253,3,4
38307,7,2
31369,7,2
22833341,7,2
6537497,7,2
7835,7,2
5284469,7,2
5282601,15,1
62847,15,1
31261,27,11
6416,27,11
12741,15,1
23847,27,11
13187,15,1
61303,15,1
75364,15,1
11622,15,1
8163,15,1
5282604,15,1
11509,27,11
7288,27,11
89180,27,11
13561,15,1
612828,24,0
612782,24,0
10130,15,1
7967,15,1
8452,27,11
8175,15,1
2969,15,1
7958,27,11
544588,27,11
3017068,15,1
8194,15,1
75458,15,1
12052911,15,1
18027,15,1
71552,15,1
8130,15,1
3084462,15,1
984,15,1
22207,15,1
6184,15,1
3893,15,1
8051,15,1
8034,27,11
7909,27,11
11583,27,11
7895,27,11
11005,15,1
62838,15,1
31289,15,1
8158,15,1
3084376,15,1
454,15,1
379,15,1
8093,15,1
985,15,1
181174,15,1
17697,15,1
13849,15,1
557529,15,1
31291,15,1
13152,27,11
155761,15,1
25311,15,1
12530,15,1
8186,15,1
8180,15,1
5976,2,9
674,2,9
6329,2,9
6061,2,9
12699,2,9
6124,2,9
1146,2,9
9321,2,9
18636,4,8
38200,4,8
37270,4,8
42540,4,8
29575,4,8
38439,4,8
43495,14,8
15625,4,8
7271,4,8
6914,4,8
1486,4,8
992,4,8
51130,14,8
42140,14,8
51720,4,8
42138,14,8
38016,4,8
37036,4,8
38875,4,8
38032,4,8
37034,4,8
37807,4,8
36188,4,8
42128,14,8
39929,14,8
9223,14,8
36231,4,8
71072,14,8
16318,4,8
568,14,8
36401,4,8
12871038,14,8
20263,14,8
88939,14,8
33105,14,8
10155,23,6
11288,23,6
10708,23,6
20310,23,6
11138,23,6
6693,23,6
11897,23,6
22015,23,6
11892,23,6
12439,23,6
12073,23,6
243,23,6
7187,23,6
8554,23,6
8441,23,6
34224,23,6
8496,23,6
7418,23,6
7150,23,6
8373,23,6
7470,23,6
1017,23,6
6811,23,6
7489,23,6
10018535,0,21
11694869,0,21
86869,0,21
15618,0,21
220273,0,21
247581,0,21
607552,0,21
620189,0,21
10263,20,21
10695,20,21
10686,20,21
70145,20,21
7269,20,21
7247,20,21
19753,20,21
11317,20,21
7947,20,21
11327,20,21
16478,20,21
11304,20,21
11306,20,21
11328,20,21
11326,20,21
68084,20,21
11287,20,21
18779,20,21
146998,20,21
7002,20,21
13257,20,21
16932,20,21
16732,20,21
11386,20,21
28226,20,21
11387,20,21
11396,20,21
11936,20,21
12563,20,21
18782,20,21
7055,20,21
17321,20,21
18932,20,21
15304,20,21
92373,20,21
12564,20,21
18781,20,21
13258,20,21
12566,20,21
18784,20,21
19427,20,21
15564,20,21
6001,20,21
17347,20,21
44368,20,21
13076,20,21
13068,20,21
13438,20,21
13256,20,21
34454,20,21
12105,23,6
10722,23,6
7725,23,6
12784,20,21
11335,8,6
6589,3,16
37248,4,8
37803,4,8
27960,4,8
23448,4,8
68245,14,8
240,23,6
6781,23,6
12462,8,6
68126,8,6
90902,8,6
17198,8,6
92839,8,6
15204,8,6
7052,8,6
76027,8,6
15109,8,6
14104,8,6
3314,8,6
7144,8,6
8357,8,6
8419,8,6
7121,8,6
14332,8,6
10383,8,6
176439,8,6
62465,8,6
61712,8,6
1183,8,6
524975,8,6
332,8,6
8417,8,6
2214,8,6
226327,8,6
7519,8,6
9984,8,6
7586,8,6
14123547,8,6
460,8,6
17262,8,6
1738,8,6
853433,8,6
226486,8,6
10997535,8,6
85214,8,6
19844,8,6
31236,8,6
79735,8,6
15782,8,6
20129,8,6
17739,8,6
1057,8,6
119216,8,6
8655,8,6
99091,8,6
10742,8,6
7041,8,6
177043,8,6
248269,8,6
8468,8,6
31404,8,6
15026,20,21
10698,8,6
241,20,21
15604,20,21
11795,20,21
9201,20,21
11934,20,21
9147,20,21
69504,20,21
11766,20,21
8418,20,21
5954,20,21
9163,20,21
9136,20,21
9117,20,21
9146,20,21
9195,20,21
2336,20,21
129695190,20,21
9153,20,21
9128,20,21
9144,20,21
9152,20,21
9158,20,21
7095,20,21
9171,20,21
9115,20,21
9176,20,21
9106,20,21
9119,20,21
43254,20,21
9126,20,21
9108,20,21
9118,20,21
5889,20,21
9154,20,21
6853,20,21
67450,20,21
9131,20,21
24055,20,6
931,20,21
9142,20,21
995,20,21
14325074,20,21
9162,20,21
31423,20,21
9170,20,21
18302,5,5
93000,5,5
7896,5,5
10442,5,5
8064,5,5
8103,5,5
262,5,5
14846,26,13
75103,5,5
22386,5,5
179,5,5
17291,5,5
62118,5,5
7910,5,5
7966,5,5
7298,5,5
162406,5,5
670,5,5
25006,5,5
174,5,5
604,5,5
753,5,5
7870,5,5
31260,5,5
6560,5,5
3776,5,5
263,5,5
1031,5,5
6276,5,5
1030,5,5
6568,5,5
25203927,5,5
7360,26,13
13,4,8
7950,4,8
10943,4,8
7931,4,8
7810,4,8
7245,4,6
7238,4,8
7964,4,8
15910,4,8
4685,4,8
53639106,4,8
8370,4,8
7239,4,8
6720,4,15
12463,4,8
6895,4,8
69155,11,21
73813,24,0
11574,6,0
12746,6,0
31259,6,0
11249,6,0
18851,6,0
11250,6,0
140599,6,0
7869,6,0
16657,6,0
33451,6,0
76492,6,0
22468,6,0
12986,6,0
10553,6,0
26049,24,0
19951,6,0
14263,6,0
19589,6,0
15658,6,0
94226,24,0
6654,24,0
17100,24,0
11142,6,0
14619934,24,0
11611,6,0
69655,6,0
33744,24,0
8126,6,0
88350,24,0
522498,6,0
549158,24,0
8079,6,0
22311,24,0
12330,6,0
137448,6,0
7461,6,0
521268,24,0
121731,6,0
66775,6,0
31253,6,0
11463,6,0
6431006,24,0
316565,24,0
138270,6,0
1105,24,0
33650,24,0
91195,24,0
11612,6,0
137923,6,0
11621,6,0
32934,24,0
34335,24,0
137816,6,0
244,23,6
6998,23,6
338,23,6
289,8,6
6997,8,6
8663,8,6
2723,4,6
10393,8,6
7017,8,6
135442,8,6
785,8,6
7469,8,6
10787,8,6
342,8,6
4133,23,6
7456,23,6
7005,8,6
335,8,6
2879,8,6
996,8,6
359,8,6
5054,8,6
10687,8,6
17520,21,9
39800,21,9
33528,21,9
33344,21,9
8607,21,9
11535,25,3
11588,25,3
10037,25,3
6325,6,3
136332,25,3
7280,17,2
7840,17,2
6333,17,2
31296,17,2
7839,17,2
6323,17,2
3024,17,2
5558,17,2
11641,17,2
7503,4,8
73557399,11,21
617007,0,21
4944,8,6
182210,8,6
8411,19,15
6581,8,6
220995,8,6
8815,8,6
119205,8,6
4115,8,18
7000,19,15
8071,26,13
7834,13,13
12586,13,13
31275,26,13
15287,26,13
12512,13,13
22172,13,13
136353,26,13
70934,13,13
8177,26,13
8076,26,13
8095,26,13
51132,26,13
8019,26,13
8146,26,13
25982,26,13
8179,26,13
81313,26,13
8117,26,13
13578,26,13
8254,13,13
13628003,26,13
121752,26,13
3283,13,13
8025,16,13
8054,26,13
17756,26,13
6354,13,13
12256,13,13
8190,26,13
7914,13,13
8134,26,13
15413,13,13
7900,26,13
7946,26,13
6378,13,13
8200,26,13
8028,13,13
8178,26,13
8172,26,13
31222,19,15
7261,19,15
8247,19,15
8413,19,15
6053,19,15
7102,19,15
6115,19,15
7111,19,15
6838,19,15
11487,19,15
7242,19,15
7814,19,15
13861,1,13
7301,13,13
8909,1,13
3032390,13,13
17049,26,13
61247,13,13
8193,5,5
85014,5,5
15076,5,5
80281,5,5
18827,5,5
7720,5,5
21414,5,5
3240,5,5
8174,5,5
516973,5,5
7792,5,5
32881,26,13
702,5,5
8129,5,5
1254,5,5
12404,5,5
8221,5,5
957,5,5
3084097,5,5
5463846,5,5
19076,4,18
7845,6,0
7612,6,0
11602,6,0
11587,6,0
7844,6,0
11597,6,0
8004,6,0
12970,6,0
138026,6,0
11240,6,0
11210,6,0
23866,6,0
11239,6,0
12969,6,0
12724,6,0
3016897,6,0
8255,6,0
66084,6,0
182132,6,0
8252,6,0
638071,6,0
15301,6,0
9997,28,17
11263471,28,17
337121,28,17
7846,28,17
6335,28,17
10419,28,17
520802,28,17
61018,28,17
6326,28,17
10821,28,17
12732,28,17
12309,28,17
12720,28,17
22129,21,9
1531,21,9
31256,5,5
867,5,5
10557,5,5
61868,26,13
6405,5,5
112221,6,0
41971,6,0
8630,19,15
6431285,18,20
9203,18,20
7222,18,20
3023,18,20
3714831,18,20
30692,18,20
11818,10,15
53230,10,15
11803,10,15
39184,10,15
11764,10,15
39185,10,15
70155,10,15
93496,10,15
86258,10,15
13432,10,15
114893,10,15
6849,10,15
21694,10,15
1493,10,15
8461,10,15
35842,10,15
21502,10,15
7471951,10,15
19168,10,15
6829,10,15
25760,10,15
11831,10,15
11392,10,15
28206,10,15
6947,10,15
13090,10,15
149804,10,15
16450,10,15
13462,10,15
97240,10,15
10800,10,15
7114,10,15
158032,10,15
980,10,15
62134,10,15
11769,10,15
44374,10,15
24121,10,15
30086,10,15
154901,10,15
11767,10,15
70382,10,15
15752,10,15
12489838,10,15
50958,10,15
7416,10,15
29393,19,15
991,10,15
38479,10,15
5569,10,15
13009,13,13
10795,13,13
7765,13,13
8020,13,13
6495,13,13
31214,13,13
7924,13,13
93269,13,13
9005,13,13
102778,24,0
7858,5,5
756,5,5
14264,12,7
6163,12,7
6213,12,7
679,12,7
6497,12,7
31347,12,7
8777,12,7
1117,12,7
1119,12,7
24682,12,7
99937,26,13
15260,26,13
177691,26,13
8133,26,13
94210,26,13
11321244,26,13
8087,26,13
86302,13,13
21896169,26,13
103528,26,6
8170,26,13
33022,1,13
14900,1,13
5541,26,13
24752,26,13
79029,26,13
24699,1,13
21210,26,13
15286,26,13
92629,26,13
17151,1,13
6506,26,13
102646,26,13
8923,26,13
25054,26,13
91948,26,13
32611,26,13
385,15,1
53445481,5,2
180933,11,21
8530,11,21
6724,0,10
17253,20,10
606469,8,21
15570,16,13
31288,26,13
8160,26,13
61222,28,17
139568,28,17
136461,28,17
24977797,28,17
19460,6,0
528437,6,0
528441,6,0
13381,6,0
74138,6,0
18936,6,0
3015374,6,0
528971,6,0
11610,6,0
29303,6,0
12395,6,0
29075,6,0
31285,6,0
87821,6,0
8125,6,0
528972,6,0
82436,6,0
87639,6,0
181154,6,0
17095,6,0
13190,6,0
11669,6,0
7868,6,0
18852,6,0
18848,6,0
12984,6,0
518713,6,0
77058,6,0
8183,6,0
5634,15,0
78335,6,0
520743,24,0
26318,24,0
29096,5,5
10446,6,0
94310,23,6
2337,23,6
8785,23,6
62341,23,6
8698,23,6
2347,23,6
28813,23,6
47326,23,6
8343,23,6
8346,23,6
3026,23,6
8559,23,6
7165,23,6
8362,23,6
7276,23,6
12053,0,6
24773,8,6
6629,0,6
7543,19,15
560947,24,0
238792,5,5
62072,24,0
172146,24,0
53687588,24,0
3032811,24,0
152802,24,0
53925385,24,0
152909,24,0
162384,24,0
54183197,24,0
221023,5,5
101602,24,0
93390,5,5
151269,15,1
9543670,15,1
8927,24,0
13539,16,13
7344,26,13
13360,16,13
17595,21,9
13387,21,9
70717,21,9
12025,21,9
23666346,21,9
8132,21,9
8606,21,9
31374,21,9
12968,21,9
3608,21,9
16653,21,9
1103,21,9
4284,21,15
8880,21,9
4678,21,9
14215,21,9
8430,21,9
8857,16,13
7342,1,13
7915,1,13
10908,16,13
6386,5,5
225689,24,0
10757,0,10
7018,20,10
650,27,11
6584,16,13
11124,1,13
1060,27,5
6549,24,0
860,24,0
3931,24,0
965,24,0
225688,24,0
5997,24,0
6492,24,0
142770,24,0
4458,6,0
19633,24,0
54280271,24,0
267302,24,0
8202,24,0
68344,24,0
10117,24,0
4668,24,0
10116,24,0
12304198,24,0
579897,24,0
86821,24,0
122544,24,0
28809,24,0
19462,14,8
12266,14,8
20534,14,8
18554,14,8
10797,14,8
19602,14,8
10351,14,8
13587,14,8
237332,14,8
66349,14,8
12097,14,8
8029,14,8
6919,14,8
7362,14,8
7361,14,8
6228,2,9
8871,21,9
13543,21,9
75192,21,9
