CID,kmeans_cluster,hierarchical_cluster
39327,19,11
7394,3,5
6428,16,5
6574,16,5
15586,16,5
6365,16,5
6368,16,5
176,16,5
10967,16,5
300,16,5
6372,16,5
7864,2,5
6423,16,5
6392,16,5
6391,16,5
760,16,5
11724,2,5
6375,16,5
1060,2,5
6393,16,5
6373,16,5
31261,2,6
7918,2,5
31256,21,6
867,9,5
10908,21,6
6278,16,5
6591,16,5
6366,16,5
6573,2,5
6564,2,5
10037,2,5
12417,2,5
10041,21,5
4093,2,5
177,2,5
178,2,5
180,2,5
6342,2,5
6333,16,5
6359,16,5
5943,16,5
6212,16,5
9550,16,5
6344,16,5
12232,2,5
8254,2,5
6228,2,5
1068,2,5
6213,2,5
679,2,5
6598,2,5
6337,16,5
7839,16,5
11,16,5
6214,16,5
6360,2,5
8255,2,5
3776,2,5
7865,2,5
15413,2,5
6124,2,5
6419,16,5
31373,16,5
6386,2,5
10900,16,5
6575,16,5
6389,16,5
9869,2,5
11641,16,5
6338,16,5
7280,16,5
7840,16,5
31296,16,5
7835,2,5
6324,2,5
6354,16,5
7860,16,5
6901,7,15
6478,7,15
727,7,15
6327,16,5
7239,7,15
12463,7,15
549623,21,6
35363,21,6
35367,21,6
123522,21,6
15102861,4,6
107263,21,6
18309,21,6
20615,21,6
11549,21,6
15421,21,5
28030,21,6
94277,4,6
94276,4,6
15507,21,6
35368,21,6
91517,4,6
17779,21,6
523224,21,6
186252,4,6
11416,21,6
17148,21,6
35364,21,6
549923,4,6
136729,21,6
73813,21,5
35411,4,6
519283,4,6
33712,12,6
92723,21,6
10044,21,5
11255,21,6
28022,4,6
10907,21,6
28026,21,6
6403,21,5
11542,21,6
11669,21,5
28023,4,6
11215,21,6
11269,21,6
18851,21,5
25403,21,5
6589,21,5
11260,21,6
77653,4,1
28024,4,6
11511,4,6
549957,4,6
11863,21,6
14020,21,6
18852,21,5
11233,4,6
11229,21,6
23866,21,5
32737,21,5
11412,4,6
12096,4,6
12048,21,6
14018,21,6
18314,4,6
11507,4,6
6654,21,6
14896,21,6
260716,21,6
136101,21,6
6616,21,6
2537,21,6
140671,21,6
11564,21,6
17149,21,6
11523,4,6
35413,4,6
643587,21,6
550318,4,6
19751,21,6
15431,21,6
19090156,4,6
2758,21,6
18313,4,6
136673,21,6
1254,4,1
7962,21,6
34193,4,6
6431006,21,6
61247,21,5
21572741,21,6
5463846,21,6
34335,21,6
12586,2,5
398,2,5
7847,2,5
8115,2,5
7964,2,5
6351,2,5
6325,2,5
8029,2,5
6323,16,5
6329,16,4
3024,16,5
6587,2,5
6334,2,5
6378,2,5
8028,2,5
6371,16,5
12512,21,6
11249,2,5
11250,21,5
6416,2,5
7892,21,5
11210,2,5
7282,21,6
8078,21,5
7966,2,5
544588,2,5
6556,2,5
7296,21,5
13387,2,5
136508,21,6
9253,2,5
7298,2,5
6405,2,5
7947,12,6
26058,14,17
11551,4,6
7868,21,6
7869,21,6
137658,4,17
16657,21,6
12260,21,6
7907,21,6
12984,21,6
67334,14,17
12721,21,6
136827,4,17
38307,21,6
7872,21,6
6544,21,6
7914,21,6
7929,12,0
13152,21,6
11345,12,0
7378,12,0
19041,4,6
11582,4,5
15417,4,6
20414,14,17
31259,14,17
7910,21,6
6492,21,6
33451,13,16
92629,9,16
6590,2,5
284,16,5
757,2,5
612,2,5
7923,2,5
12228,2,5
1032,2,5
7612,2,5
23662387,2,5
6341,2,4
6061,2,5
7834,2,5
31275,2,5
262,2,5
650,2,5
10795,2,5
10419,8,13
14846,2,5
179,2,5
2365,2,5
31369,2,5
4685,7,15
31374,2,5
174,2,5
6560,2,5
11167,2,5
6585,2,5
7854,2,5
1030,2,5
713,16,5
27941,18,7
107,18,7
10130,18,7
13009,2,5
12970,21,6
25006,9,5
1140,12,0
7304,2,5
10797,2,5
13587,2,5
241,2,5
5976,25,20
7497,25,20
700,2,22
4,2,22
7681,25,20
7618,25,20
8471,25,20
1146,25,20
10326,12,0
18636,15,0
38200,15,0
37270,15,0
51130,15,0
42540,15,0
42140,15,0
29575,15,0
51720,15,0
38439,15,0
42138,15,0
38016,15,0
37036,15,0
38875,15,0
38032,15,0
37034,15,0
37807,15,0
37248,15,0
37803,15,0
36188,15,0
43495,15,0
42128,15,0
15625,15,0
39929,15,0
27960,15,0
23448,15,0
36231,15,0
10522,10,25
19076,15,0
