CID,kmeans_cluster,hierarchical_cluster
8129,8,8
8051,13,0
7242,8,8
25203927,8,8
18827,8,8
8076,8,8
6997,8,8
75103,8,8
11587,8,8
7298,8,8
31260,8,8
853433,8,8
6276,8,8
15286,8,8
10687,8,8
6629,8,8
31242,8,8
7456,8,8
342,8,8
7966,8,8
263,8,8
8038,13,0
10393,8,8
7515,8,8
7017,8,8
8117,8,8
8064,8,8
14846,8,8
18554,8,1
99937,8,8
15287,8,8
20534,8,11
8663,8,8
5641,8,8
174,8,8
753,8,8
460,8,8
13360,8,8
3776,8,8
79029,8,8
442649,8,8
8880,8,8
13543,8,8
7005,8,8
7000,8,8
32881,8,8
31256,8,8
936,8,8
4,8,8
7902,8,8
335,8,8
17756,8,8
24977797,13,8
6328,13,8
26042,8,8
5897,14,10
6490,14,10
14256,14,10
8190,14,10
24752,14,10
4678,14,10
8923,14,10
25054,14,10
91948,14,10
93390,14,10
226486,14,10
31404,14,10
8193,14,10
8411,14,10
8413,14,10
103528,14,10
4928,14,10
422780,9,2
9215,9,2
7965,9,2
7497,9,2
69240,9,2
7343,9,2
12105,9,2
8846,9,2
64150,9,2
1146,9,2
7020,9,2
22129,9,2
11807,9,2
7912,9,2
8471,9,2
9253,9,2
11904,9,2
7165,9,2
6734,9,2
9143,9,2
10722,9,2
1531,9,2
8418,9,2
9033,9,2
11642,9,2
260716,0,9
674,9,2
6341,9,2
8821,9,2
26331,9,2
7150,9,2
8405,9,2
62010,9,2
73557399,3,2
7018,9,2
2724127,9,2
1474,9,2
323,9,2
568,9,2
8021,9,2
4837,9,2
9938,9,2
69155,9,2
13652,9,2
7002,9,2
650,9,2
145744,9,2
15570,9,9
5976,9,2
7852,9,2
8461,9,2
31261,9,2
6377,9,2
34224,9,2
81530,9,2
82744,9,2
7923,9,2
6329,9,2
931,9,2
14315,9,2
4650,9,2
6061,9,2
3301,9,2
89180,3,2
7245,7,9
12232,7,9
359,8,8
6575,7,9
76004,9,6
785,8,8
5054,8,8
7239,7,9
2723,7,9
33344,7,9
7503,7,9
10967,7,9
6497,7,9
6564,7,9
7810,7,9
7238,7,9
6366,7,9
17520,7,9
39800,7,9
7394,7,9
996,8,8
7900,8,8
4685,7,9
182210,6,4
9183,6,4
31288,6,7
14215,6,4
17317,6,4
248269,6,4
95717,6,4
220995,6,4
20967,2,4
162093,2,4
38479,2,4
78173525,2,4
31357,2,4
97746,2,4
75364,2,4
7570,2,4
620189,2,4
14325074,6,4
4900,2,4
14050,10,7
5192,10,1
12736,10,7
10457,10,1
15816,10,1
62847,5,7
1017,10,1
16698,10,1
2266,10,1
11288,10,1
10708,10,1
11138,10,1
15204,10,7
7052,10,1
14332,5,7
10155,10,1
8094,5,7
162384,5,7
19844,10,1
79735,10,1
13539,8,8
244,8,8
9984,14,10
798,8,8
12580,8,8
8655,14,10
13033,3,11
9309,3,2
92629,8,8
179,8,8
1183,8,8
18940,3,11
237332,8,8
7469,8,8
2214,8,8
162406,8,8
670,8,8
92839,8,8
12053,8,8
10821,8,8
24055,8,8
12699,8,8
4133,8,8
223,8,8
408,3,2
16402,9,2
8908,3,2
31276,3,2
7500,3,0
8132,9,2
8111,9,2
107203,3,2
89125,9,2
8698,9,2
66084,3,2
409,9,2
13521,6,4
2347,6,4
47326,6,4
6781,6,4
6053,2,4
8362,14,10
2336,6,4
12025,18,3
7820,18,3
11124,18,3
7276,18,3
22386,8,8
7870,8,8
3032390,8,8
61868,8,8
6405,8,8
5463846,8,8
12756,18,3
7749,18,3
7915,18,3
11583,18,3
702,8,8
6568,8,8
7742,18,3
7896,8,8
17595,18,3
8087,8,8
8054,18,3
7762,18,3
7946,18,3
700,8,8
12180,18,3
15394,18,3
62447,19,12
125339,19,12
75481,19,12
12329,19,12
12813,19,12
7714,19,12
19801,19,12
8175,19,12
83756,9,2
24121,15,4
9134,6,4
7187,6,4
5541,6,4
15659,6,4
68245,6,4
1103,15,2
606469,6,4
5569,6,4
24730,15,2
9146,6,4
9128,6,4
9152,6,4
9142,6,4
67450,6,4
154901,6,4
17253,6,4
39184,6,4
180933,6,4
114893,6,4
35842,15,4
21502,15,4
33528,6,4
29393,6,4
9177,15,2
7618,9,2
5565,15,2
16450,9,2
6710,14,10
8554,9,2
8441,9,2
6581,9,2
6780,9,2
11803,9,2
17857,15,18
7850,7,9
8115,7,9
6163,7,9
6213,7,9
31347,7,2
10900,7,9
6373,7,9
9869,7,9
6338,7,9
6343,7,9
7047,4,9
6326,4,9
241,4,9
7222,7,9
7964,7,9
6372,7,9
6212,7,9
7864,7,9
31369,7,9
6344,7,9
6278,7,9
6574,7,9
6573,7,9
7845,4,9
7612,4,9
7931,7,9
13129,7,9
15586,7,9
6365,7,9
6368,7,9
24883,7,9
9223,7,9
5971,7,9
31240,7,9
7835,7,9
6337,7,9
11,7,9
6327,7,9
11167,7,9
878,7,9
10943,7,9
61278,1,9
7895,1,9
6569,1,17
14264,4,9
70717,9,2
12228,4,9
149804,15,4
50958,15,4
30086,15,4
53230,15,18
39185,6,4
524975,14,10
13628003,14,10
177043,14,10
8200,14,10
15260,14,10
7577,14,10
61712,14,10
85214,14,10
13462,15,18
62134,15,18
44374,15,4
21694,15,18
25760,15,18
119216,14,10
6506,14,10
119205,14,10
7280,12,13
2087,12,13
14410,12,13
53445481,12,13
15752,12,13
12489838,12,13
31296,12,13
3039,12,13
7839,12,13
3024,12,13
5558,12,13
11287,13,0
8034,13,0
12243,13,0
5326159,13,0
12721,13,0
33744,13,11
12330,13,0
15301,13,0
638071,13,0
13025,13,11
66666,13,0
12220,13,0
8255,13,0
8858,13,0
7342,11,11
31272,13,0
7814,13,0
7471,11,11
13621,11,11
69848,13,0
7869,13,0
11669,13,0
17656,13,0
11903,11,11
19753,13,0
16478,13,0
15645217,11,11
28226,13,0
11386,11,11
22172,13,0
13257,3,14
11249,13,0
10553,13,0
31222,13,0
12586,13,0
7261,13,0
13861,11,11
12209,11,11
949,13,0
12500,13,0
9321,13,0
4685067,13,0
11430,13,0
9158,6,4
5889,2,4
76027,10,1
743,10,1
196,10,1
8892,10,1
1110,10,1
7489,10,1
7418,10,1
7470,10,1
10130,10,1
7121,10,1
11897,10,1
11892,10,1
12439,10,1
12073,10,1
20310,10,1
12046,10,1
23662387,10,1
723,10,1
10349,10,1
19660,10,1
8095,18,3
454,1,0
177,1,9
7924,4,9
180,1,9
7519,4,9
7997,1,0
7909,1,9
7803,1,0
6342,4,9
6544,1,9
6854,8,8
51132,11,11
12986,11,11
11263471,8,8
7765,17,11
11487,8,8
11142,11,11
2879,8,8
11869,11,11
33781,8,8
7144,8,8
19602,11,11
6448,2,4
5954,2,4
9171,6,16
9153,6,4
9117,6,4
9131,6,4
9126,2,4
9108,2,4
97747,6,4
9877768,6,4
16821,6,4
44368,6,4
8174,14,10
4944,14,10
27960,12,13
15625,12,13
164514,12,13
8606,12,13
5993,12,13
2730,12,13
16318,12,13
3224,12,13
3589,12,13
13930,12,13
8607,12,13
12463,12,13
36401,12,13
5455,12,13
5284469,12,13
19076,12,13
51130,12,13
42140,12,13
51720,12,13
43495,12,13
42540,12,13
29575,12,13
42138,12,13
42128,12,13
38016,12,13
37034,12,13
36231,12,13
38875,12,13
37248,12,13
38032,12,13
37803,12,13
23448,12,13
37807,12,13
36188,12,13
37270,12,13
38439,12,13
37036,12,13
8447,12,13
39929,12,13
727,12,13
16653,12,13
30692,12,13
11239,17,1
8078,17,1
7296,17,15
6378,4,9
7843,4,15
31374,4,1
11535,4,9
6335,4,9
7834,17,3
7844,4,9
1049,4,3
8357,10,1
10742,10,1
15910,12,13
6359,12,13
178,8,8
8134,8,8
7292,8,8
1031,8,8
6386,8,8
8004,17,11
17291,8,8
93000,8,8
12732,8,8
11335,8,8
10787,8,8
1057,8,8
10557,8,8
12309,8,8
1030,8,8
6736,8,8
7846,4,1
262,8,8
136461,1,9
10442,8,8
289,8,8
10383,8,8
338,17,1
8083,4,1
412,8,8
70255,4,9
8130,3,2
10241,9,2
11443,9,6
22015,9,2
12563,3,14
10401,4,9
6354,4,9
7967,4,9
8882,4,9
6584,4,9
6325,4,15
12993,4,9
18302,8,8
177691,8,8
8133,8,8
62118,8,8
62465,8,8
14123547,8,8
20129,8,8
332,8,8
90902,8,8
8019,8,8
8103,8,8
10698,8,8
61222,1,9
7720,8,8
61018,8,8
7361,8,8
21210,8,8
18636,12,13
992,12,13
31236,8,8
7041,8,8
7360,8,8
337121,8,8
7102,13,8
8146,8,8
7367,7,13
7271,7,13
61112,7,9
6419,12,13
4004,6,4
39327,6,4
9118,6,4
25006,8,8
3314,8,8
7858,8,8
957,8,8
7910,8,8
6560,8,8
93269,8,8
7586,2,4
6895,7,9
11641,7,9
13,7,9
6591,7,9
6323,7,9
87244,6,4
2537,4,9
3485,18,9
20307,18,3
17167,18,3
7288,18,3
11251,4,3
6351,4,9
6360,0,15
11588,4,3
10041,0,15
23847,18,3
185654,18,9
6324,0,15
10908,18,3
6334,4,15
297,0,15
3082,12,13
38200,12,13
25982,8,8
22833341,6,4
6537497,6,4
10522,6,4
10913,6,4
77929,6,4
34192,6,4
20473,6,4
4115,6,4
11169,6,4
10914,6,4
8630,10,1
8468,10,1
10800,10,1
604,10,1
8370,12,13
6478,12,13
6720,12,13
3017,6,4
9115,6,4
991,6,4
6184,1,0
135738785,14,10
15782,14,10
6129,14,10
31265,11,11
15327,11,11
14095,11,11
15263,11,11
17627,11,11
12564,11,11
12566,11,11
13256,3,14
14527,11,11
8785,3,14
7095,3,14
7647,3,14
8680,11,11
10870,11,11
70145,11,11
11328,11,11
11304,3,14
7945,11,11
12348,3,2
66349,9,18
14296,3,2
549158,11,11
31253,11,11
8900,11,11
41971,3,11
11463,11,11
12217,11,11
316565,11,11
13381,16,5
20197,11,11
28812,11,11
11610,11,11
12100,11,11
14092,11,11
12160,11,11
19503,11,11
31285,11,11
16265,11,11
78335,11,11
11594,11,11
18591,11,11
7892,11,11
51806,11,11
12096,11,11
16664,11,11
7282,11,11
16663,11,11
16665,11,11
94226,11,11
520963,11,11
77058,11,11
33937,11,11
13629,11,11
33044,11,11
13627,11,11
15653,11,11
18371935,11,11
14062,11,11
11551,11,11
85150,16,5
16656,11,11
92978,16,5
33451,11,11
76492,11,11
14069,11,11
520991,11,11
11412,11,11
16302,11,11
139989,16,5
139990,16,5
520522,11,11
26839,16,5
28022,11,11
140667,16,5
77653,16,5
14478,16,5
23544,16,5
8909,11,11
15506,11,11
11529,11,11
35412,11,11
138178,11,11
11611,11,11
69655,11,11
8126,11,11
88350,11,11
522498,11,11
519308,11,11
13721375,11,11
15431,11,11
18313,11,11
7406,11,11
7529,11,11
7705,11,11
16269,11,11
8058,11,11
8141,11,11
356,11,11
10864,11,11
520475,11,11
20284,16,5
15505,11,11
7366,11,11
21572741,11,11
33047,11,11
5370622,3,11
11612,11,11
137923,11,11
11621,11,11
137816,11,11
19951,11,11
18848,11,11
12984,11,11
139803,16,5
521415,16,5
93280,16,5
12048,11,11
11507,11,11
14018,11,11
11519,11,11
11512,11,11
18314,11,11
136827,11,11
13258,11,14
520962,11,11
519965,11,11
168556,11,11
16294,11,11
12784,11,11
518713,11,11
15504,11,11
16270,11,11
22311,11,11
7461,13,0
521268,11,11
112221,11,5
15417,11,11
140671,11,11
35413,11,11
77414,11,11
550318,11,11
550319,11,11
107252,11,11
14910,11,11
19090156,11,11
15508,11,11
519284,11,11
23468,11,11
19540,11,11
10263,11,11
10695,11,11
7269,11,11
8657,11,11
8864,11,11
17877,11,11
13403,11,11
7734,11,11
10703,11,11
14091,11,11
10812,11,11
7463,11,11
143127,11,5
186252,11,5
549923,11,11
549623,11,11
15102861,11,11
107263,11,11
94277,11,11
94276,11,11
108537,11,11
519283,11,11
27938,11,11
7459,11,11
549957,11,11
